membership_id,household_key,income,member_status,state_grouped,credit_ranges,cancel_reason,renew_method,plus_indicator_description,zip,sc_vehicle_manufacturer_name,sc_vehicle_model_name,race,home_owner,education,dwelling_type,gender,occupation_code,occupation_group,occupant_type,mosaic_household,mosaic_global_household,kcl_b_ind_mosaicsgrouping,generation,tenure,aaa_no_tenure,aaa_member_tenure_years,aaa_mean_age,length_of_residence,aaa_mortgage,aaa_credit_card,aaa_deposit,aaa_home_equity,aaa_financial_service,aaa_auto_insurance,aaa_id_theft,aaa_motorcycle_indicator,aaa_travel,aaa_mean_child,aaa_mean_total_cost,aaa_no_race,aaa_no_home_owner,aaa_no_education,aaa_no_income,aaa_no_dwelling_type,aaa_no_credit_ranges,aaa_no_gender,aaa_no_language,aaa_no_reason_joined,aaa_cancel_reason,aaa_no_mosaic_household,aaa_no_mosaic_global_household,aaa_no_kcl_b_ind_mosaicsgrouping,aaa_no_occupation_code,aaa_no_occupation_group,aaa_no_occupant_type,aaa_no_plus_indicator_description,aaa_no_generation,total_calls_year_1,total_calls_year_2,total_calls_year_3,total_member_cost_1,total_member_cost_2,total_member_cost_3,basic_cost,plus_cost,premier_cost,mean_basic_cost,mean_plus_cost,mean_premier_cost,total_calls,total_member_cost,mean_total_member_cost,vehicle,total_cost,mean_total_cost,total_members_in_household
8519,18820791,"90-99,999",ACTIVE,RI,650-699,UNKNOWN,NOTICE,PLUS MEMBERSHIP,2861,DODGE,B1500,HISPANIC - HISPANIC ORIGIN,HOME OWNER,UNKNOWN,SFDU,MALE,RETIRED,RETIRED - KNOWN,UNKNOWN,AGING IN PLACE,COMFORTABLE RETIREMENT,AUTUMN YEARS,BABY BOOMERS (1948 - 1968),+40 YEARS,0,47,62.25,9.0,0,0,0,0,0,0,0,0.0,0,1.3333,19.0,6.0,0.0,,2.0,0.0,3.0,2.0,0.0,2.0,,1.0,1.0,1.0,2.0,3.0,,2.0,4.0,0.0,0.0,4.0,0.0,0.0,146.02,95.0,0.0,0.0,19.0,0.0,0.0,4.0,146.02,29.204,DODGE B1500,95.0,19.0,4
8521,13474812,"10-19,999",ACTIVE,RI,750-799,UNKNOWN,NOTICE,UNKNOWN,2920,UNKNOWN,UNKNOWN,CAUCASION / WHITE - EUROPEAN,HOME OWNER,UNKNOWN,SMALL OR LARGE MULTI-FAMILY W/APT NUMBER,FEMALE,TEACHER/EDUCATOR,PROFESSIONAL - KNOWN,UNKNOWN,DARE TO DREAM,METROPOLITAN STRUGGLERS,ASPIRATIONAL FUSION,BABY BOOMERS (1948 - 1968),+40 YEARS,0,47,68.0,15.0,0,0,0,0,0,0,0,,0,1.0,0.0,1.0,0.0,,6.0,2.0,1.0,1.0,0.0,,,33.0,8.0,17.0,7.0,2.0,,,1.0,0.0,2.0,0.0,0.0,117.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,117.7,117.7,UNKNOWN UNKNOWN,0.0,0.0,1
8531,20270337,"40-49,999",ACTIVE,RI,750-799,UNKNOWN,NOTICE,PLUS MEMBERSHIP,2910,TOYOTA,CAMRY,CAUCASION / WHITE - ENGLISH,HOME OWNER,SOME COLLEGE,SFDU,FEMALE,RETIRED,RETIRED - KNOWN,UNKNOWN,AGING IN PLACE,COMFORTABLE RETIREMENT,AUTUMN YEARS,POST-WAR (< 1948),BETWEEN 21 & 30 YEARS,2,29,73.0,5.25,0,0,0,0,0,0,0,0.0,0,1.0,13.25,2.0,0.0,1.0,5.0,0.0,5.0,2.0,0.0,,3.0,1.0,1.0,1.0,1.0,3.0,,2.0,0.0,0.0,0.0,1.0,0.0,0.0,30.5,53.0,0.0,0.0,13.25,0.0,0.0,1.0,30.5,7.625,TOYOTA CAMRY,53.0,13.25,4
8553,17893323,"100-149,999",ACTIVE,RI,750-799,UNKNOWN,AUTO RENEW,BASIC MEMBERSHIP,2852,TOYOTA,PRIUS,CAUCASION / WHITE - EUROPEAN,HOME OWNER,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SILVER SOPHISTICATES,BOURGEOIS PROSPERITY,BOOMING WITH CONFIDENCE,POST-WAR (< 1948),+40 YEARS,0,47,50.6667,12.5,0,0,0,0,0,0,0,0.0,0,2.0,26.5,1.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,,10.0,2.0,2.0,2.0,21.0,15.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,26.5,0.0,0.0,0.0,0.0,0.0,TOYOTA PRIUS,159.0,26.5,5
8583,8490822,UNKNOWN,ACTIVE,RI,UNKNOWN,UNKNOWN,AUTO RENEW,UNKNOWN,2889,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NO PLACE LIKE HOME,ROUTINE SERVICE WORKERS,THRIVING BOOMERS,BABY BOOMERS (1948 - 1968),BETWEEN 16 & 20 YEARS,4,51,68.0,0.0,0,1,0,0,0,0,0,,0,,0.0,,,,,0.0,,,,,3.0,3.0,3.0,4.0,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN UNKNOWN,0.0,0.0,2
8589,8979485,UNKNOWN,ACTIVE,RI,UNKNOWN,UNKNOWN,NOTICE,UNKNOWN,2879,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,PLATINUM PROSPERITY,BOURGEOIS PROSPERITY,POWER ELITE,BABY BOOMERS (1948 - 1968),+40 YEARS,0,44,57.25,3.5,0,0,0,0,0,0,0,,0,2.0,0.0,2.0,0.0,,1.0,0.0,4.0,2.0,0.0,,3.0,16.0,2.0,7.0,4.0,15.0,,,3.0,0.0,0.0,1.0,0.0,0.0,37.66,0.0,0.0,0.0,0.0,0.0,0.0,1.0,37.66,9.415,UNKNOWN UNKNOWN,0.0,0.0,4
8591,13107475,"90-99,999",PENDING,RI,700-749,UNKNOWN,NOTICE,BASIC MEMBERSHIP,2882,TOYOTA,AVALON,CAUCASION / WHITE - ENGLISH,HOME OWNER,COMPLETED COLLEGE,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,AGING IN PLACE,COMFORTABLE RETIREMENT,AUTUMN YEARS,POST-WAR (< 1948),+40 YEARS,0,59,85.0,6.0,0,0,0,0,0,1,0,1.0,0,2.0,26.5,2.0,0.0,3.0,2.0,0.0,2.0,,0.0,,,1.0,1.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,26.5,0.0,0.0,0.0,0.0,0.0,TOYOTA AVALON,53.0,26.5,2
8595,7477476,UNKNOWN,ACTIVE,RI,UNKNOWN,UNKNOWN,AUTO RENEW,BASIC MEMBERSHIP,2840,CHEVROLET,EQUINOX,UNKNOWN,UNKNOWN,UNKNOWN,SFDU,MALE,UNKNOWN,RETIRED - INFERRED,UNKNOWN,AGING OF AQUARIUS,BOURGEOIS PROSPERITY,BOOMING WITH CONFIDENCE,BABY BOOMERS (1948 - 1968),+40 YEARS,0,48,65.5,3.5,0,1,0,0,0,1,1,1.0,0,1.0,42.5,7.0,0.0,,10.0,0.0,1.0,2.0,0.0,,,8.0,2.0,2.0,2.0,2.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,42.5,0.0,0.0,0.0,0.0,0.0,CHEVROLET EQUINOX,85.0,42.5,2
8611,9552234,"90-99,999",ACTIVE,RI,750-799,UNKNOWN,NOTICE,BASIC MEMBERSHIP,2864,TOYOTA,COROLLA,CAUCASION / WHITE - EUROPEAN,HOME OWNER,SOME COLLEGE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,POST-WAR (< 1948),+40 YEARS,0,47,86.0,15.0,0,0,0,0,0,0,0,1.0,0,2.0,33.5,1.0,0.0,1.0,2.0,,1.0,,0.0,,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,33.5,0.0,33.5,0.0,0.0,33.5,0.0,0.0,1.0,33.5,33.5,TOYOTA COROLLA,33.5,33.5,1
8626,12081328,UNKNOWN,CANCELLED,RI,UNKNOWN,DECEASED,NOTICE,UNKNOWN,2818,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SMALL OR LARGE MULTI-FAMILY W/APT NUMBER,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SENIOR DISCOUNTS,LOW INCOME ELDERS,GOLDEN YEAR GUARDIANS,POST-WAR (< 1948),+40 YEARS,0,47,101.0,0.0,0,1,0,0,0,0,0,,0,,0.0,,,,,2.0,,,,,2.0,11.0,7.0,3.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN UNKNOWN,0.0,0.0,1
8631,773460,"10-19,999",ACTIVE,RI,600-649,UNKNOWN,AUTO RENEW,PLUS MEMBERSHIP,2907,HONDA,CIVIC,HISPANIC - HISPANIC ORIGIN,HOME OWNER,UNKNOWN,SMALL OR LARGE MULTI-FAMILY W/APT NUMBER,FEMALE,UNKNOWN,OTHER - INFERRED,UNKNOWN,STEADFAST CONVENTIONALISTS,HARD WORKING BLUE COLLAR,FAMILY UNION,BABY BOOMERS (1948 - 1968),BETWEEN 11 & 15 YEARS,1,19,47.2105,8.0,0,0,0,0,0,0,0,1.0,0,1.8824,34.4925,6.0,0.0,,6.0,2.0,5.0,1.0,2.0,,6.0,29.0,5.0,10.0,,6.0,,2.0,5.0,9.0,9.0,42.0,529.65,436.5,1748.1,632.85,57.0,0.0,31.6425,2.85,0.0,60.0,2714.25,135.7125,HONDA CIVIC,689.85,34.4925,7
8649,6588209,UNKNOWN,CANCELLED,RI,UNKNOWN,NON-PAYMENT,NOTICE,UNKNOWN,2806,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FAST TRACK COUPLES,CAREER AND FAMILY,PROMISING FAMILIES,POST-WAR (< 1948),+40 YEARS,0,52,91.0,0.0,0,0,0,0,0,0,0,,0,,0.0,,,,,0.0,,,,,1.0,14.0,4.0,12.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN UNKNOWN,0.0,0.0,1
8666,13675776,UNKNOWN,CANCELLED,RI,UNKNOWN,NON-PAYMENT,NOTICE,UNKNOWN,2865,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FAST TRACK COUPLES,CAREER AND FAMILY,PROMISING FAMILIES,POST-WAR (< 1948),BETWEEN 11 & 15 YEARS,1,12,99.0,0.0,0,0,0,0,0,0,0,,0,,0.0,,,,,0.0,,,,,3.0,14.0,4.0,12.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN UNKNOWN,0.0,0.0,2
8682,13177857,"50-59,999",ACTIVE,RI,750-799,UNKNOWN,NOTICE,UNKNOWN,2865,UNKNOWN,UNKNOWN,CAUCASION / WHITE - EUROPEAN,HOME OWNER,SOME COLLEGE,SMALL OR LARGE MULTI-FAMILY W/APT NUMBER,FEMALE,UNKNOWN,RETIRED - INFERRED,UNKNOWN,SENIOR DISCOUNTS,LOW INCOME ELDERS,GOLDEN YEAR GUARDIANS,POST-WAR (< 1948),+40 YEARS,0,47,83.0,7.5,0,1,0,0,0,0,0,,0,1.0,0.0,1.0,0.0,1.0,4.0,2.0,1.0,1.0,0.0,,2.0,11.0,7.0,3.0,,1.0,,,0.0,0.0,0.0,1.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,14.5,UNKNOWN UNKNOWN,0.0,0.0,2
8697,5463209,"100-149,999",ACTIVE,RI,700-749,UNKNOWN,NOTICE,BASIC MEMBERSHIP,2879,FORD,EDGE,CAUCASION / WHITE - UNKNOWN,HOME OWNER,UNKNOWN,SFDU,FEMALE,UNKNOWN,RETIRED - INFERRED,UNKNOWN,AGING OF AQUARIUS,BOURGEOIS PROSPERITY,BOOMING WITH CONFIDENCE,BABY BOOMERS (1948 - 1968),+40 YEARS,0,47,62.7,2.1538,1,0,0,0,1,0,0,1.0,0,1.0,29.45,10.0,0.0,,1.0,0.0,2.0,2.0,0.0,1.0,3.0,8.0,2.0,2.0,1.0,15.0,,0.0,4.0,8.0,1.0,9.0,470.8,36.42,523.8,382.85,0.0,0.0,29.45,0.0,0.0,18.0,1031.02,79.309231,FORD EDGE,382.85,29.45,6
8700,7909727,"10-19,999",CANCELLED,RI,700-749,NON-PAYMENT,NOTICE,BASIC MEMBERSHIP,2860,BUICK,REGAL,CAUCASION / WHITE - EUROPEAN,HOME OWNER,SOME COLLEGE,SFDU,FEMALE,MIDDLE MANAGEMENT,MANAGEMENT - KNOWN,HOMEOWNER,NO PLACE LIKE HOME,ROUTINE SERVICE WORKERS,THRIVING BOOMERS,POST-WAR (< 1948),+40 YEARS,0,47,86.0,1.0,0,0,0,0,0,0,0,1.0,0,2.0,27.333333,1.0,0.0,1.0,6.0,0.0,2.0,1.0,0.0,,1.0,3.0,3.0,4.0,6.0,4.0,1.0,0.0,0.0,36.0,18.0,9.0,1008.0,729.0,252.0,246.0,0.0,0.0,27.333333,0.0,0.0,63.0,1989.0,221.0,BUICK REGAL,246.0,27.333333,1
8775,3897739,"90-99,999",ACTIVE,RI,750-799,UNKNOWN,NOTICE,PLUS MEMBERSHIP,2871,VOLKSWAGEN,CORRADO,HISPANIC - HISPANIC ORIGIN,HOME OWNER,UNKNOWN,P.O. BOX,MALE,UNKNOWN,BLUE COLLAR - INFERRED,UNKNOWN,SILVER SOPHISTICATES,BOURGEOIS PROSPERITY,BOOMING WITH CONFIDENCE,UNKNOWN,+40 YEARS,0,47,65.5,31.0,0,0,0,0,0,1,0,0.0,0,3.0,32.666667,6.0,0.0,,2.0,3.0,1.0,2.0,0.0,,,2.0,2.0,2.0,,8.0,,2.0,1.0,1.0,0.0,1.0,50.0,0.0,32.5,59.0,39.0,0.0,19.666667,13.0,0.0,2.0,82.5,27.5,VOLKSWAGEN CORRADO,98.0,32.666667,3
8781,9084495,UNKNOWN,CANCELLED,RI,UNKNOWN,MEMBERS REQUEST,NOTICE,UNKNOWN,2908,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FAST TRACK COUPLES,CAREER AND FAMILY,PROMISING FAMILIES,POST-WAR (< 1948),BETWEEN 31 & 40 YEARS,5,47,95.0,0.0,0,0,0,0,0,0,0,,0,,0.0,,,,,0.0,,,,,3.0,14.0,4.0,12.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN UNKNOWN,0.0,0.0,2
8799,3144960,"175 - 199,999",ACTIVE,RI,750-799,UNKNOWN,AUTO RENEW,BASIC MEMBERSHIP,2882,SUBARU,OUTBACK,MIDDLE EASTERN - ARAB,HOME OWNER,COMPLETED COLLEGE,SFDU,MALE,PHARMACIST,PROFESSIONAL - KNOWN,UNKNOWN,FAST TRACK COUPLES,CAREER AND FAMILY,PROMISING FAMILIES,POST-WAR (< 1948),+40 YEARS,0,47,53.5,7.5,1,0,0,0,1,1,1,1.0,0,2.0,22.333333,5.0,0.0,3.0,7.0,0.0,1.0,2.0,0.0,,3.0,14.0,4.0,12.0,15.0,2.0,,0.0,3.0,1.0,0.0,1.0,58.85,0.0,28.0,134.0,0.0,0.0,22.333333,0.0,0.0,2.0,86.85,14.475,SUBARU OUTBACK,134.0,22.333333,5
8806,84176722,"100-149,999",ACTIVE,RI,750-799,UNKNOWN,NOTICE,PLUS MEMBERSHIP,2919,KIA,FORTE,CAUCASION / WHITE - ENGLISH,HOME OWNER,COMPLETED COLLEGE,SFDU,MALE,NURSE,PROFESSIONAL - KNOWN,UNKNOWN,BIRKENSTOCKS AND BEEMERS,ROUTINE SERVICE WORKERS,MIDDLE CLASS MELTING POT,BABY BOOMERS (1948 - 1968),BETWEEN 21 & 30 YEARS,2,47,73.25,11.25,0,0,0,0,0,0,0,1.0,0,1.0,83.9625,2.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,,2.0,19.0,3.0,11.0,4.0,2.0,,2.0,1.0,0.0,3.0,6.0,0.0,176.55,283.05,164.85,171.0,0.0,41.2125,42.75,0.0,9.0,459.6,114.9,KIA FORTE,335.85,83.9625,2
8821,4050442,UNKNOWN,PENDING,RI,UNKNOWN,UNKNOWN,NOTICE,PLUS MEMBERSHIP,2835,HONDA,ACCORD,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,POST-WAR (< 1948),BETWEEN 6 & 10 YEARS,3,47,93.0,0.0,0,0,0,0,0,0,0,0.0,0,,17.666667,,,,,,,,,,2.0,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,17.666667,0.0,0.0,0.0,0.0,0.0,HONDA ACCORD,53.0,17.666667,3
8838,9748191,"100-149,999",ACTIVE,RI,750-799,UNKNOWN,NOTICE,UNKNOWN,2920,UNKNOWN,UNKNOWN,ASIAN - UNKNOWN,HOME OWNER,SOME COLLEGE,SFDU,FEMALE,NURSE,PROFESSIONAL - KNOWN,UNKNOWN,AGING IN PLACE,COMFORTABLE RETIREMENT,AUTUMN YEARS,BABY BOOMERS (1948 - 1968),+40 YEARS,0,47,70.0,5.0,0,0,0,0,0,0,0,,0,1.0,0.0,15.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,,7.0,1.0,1.0,1.0,4.0,2.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN UNKNOWN,0.0,0.0,3
8841,1919129,UNKNOWN,CANCELLED,RI,UNKNOWN,DECEASED,NOTICE,UNKNOWN,2878,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SMALL OR LARGE MULTI-FAMILY W/APT NUMBER,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SENIOR DISCOUNTS,LOW INCOME ELDERS,GOLDEN YEAR GUARDIANS,POST-WAR (< 1948),+40 YEARS,0,47,99.0,0.0,0,0,0,0,0,0,0,,0,,0.0,,,,,2.0,,,,,2.0,11.0,7.0,3.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN UNKNOWN,0.0,0.0,1
8842,86040437,"100-149,999",ACTIVE,RI,750-799,UNKNOWN,AUTO RENEW,UNKNOWN,2896,UNKNOWN,UNKNOWN,CAUCASION / WHITE - WHITE NON-AMERICAN,HOME OWNER,SOME COLLEGE,SFDU,FEMALE,UNKNOWN,OFFICE ADMINISTRATION - INFERRED,UNKNOWN,SETTLED IN SUBURBIA,ROUTINE SERVICE WORKERS,SURBURBAN STYLE,BABY BOOMERS (1948 - 1968),+40 YEARS,0,45,42.0,10.0,0,1,0,0,0,1,0,0.0,1,3.0,9.666667,3.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,,,7.0,3.0,6.0,15.0,9.0,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,9.666667,0.0,0.0,0.0,0.0,0.0,UNKNOWN UNKNOWN,29.0,9.666667,3
8854,14661354,"10-19,999",ACTIVE,RI,600-649,UNKNOWN,NOTICE,PLUS MEMBERSHIP,2861,TOYOTA,CAMRY,CAUCASION / WHITE - EUROPEAN,RENTER,HIGH SCHOOL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,POST-WAR (< 1948),+40 YEARS,0,47,88.0,15.0,0,0,0,0,0,0,0,0.0,0,1.0,28.0,1.0,2.0,2.0,6.0,,5.0,,0.0,,,,,,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,TOYOTA CAMRY,28.0,28.0,1
8876,19362770,"50-59,999",ACTIVE,RI,750-799,UNKNOWN,AUTO RENEW,BASIC MEMBERSHIP,2907,TOYOTA,COROLLA,CAUCASION / WHITE - ENGLISH,HOME OWNER,HIGH SCHOOL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,POST-WAR (< 1948),BETWEEN 16 & 20 YEARS,4,18,79.4,10.6,0,0,0,0,0,0,0,1.0,0,1.2,42.4,2.0,0.0,2.0,4.0,,1.0,2.0,0.0,,,,,,12.0,12.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,212.0,0.0,0.0,42.4,0.0,0.0,0.0,0.0,0.0,TOYOTA COROLLA,212.0,42.4,2
8921,99851820,UNKNOWN,ACTIVE,RI,UNKNOWN,UNKNOWN,NOTICE,BASIC MEMBERSHIP,2920,JEEP,GRAND CHEROKEE,UNKNOWN,UNKNOWN,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,MID-SCALE MEDLEY,HARD WORKING BLUE COLLAR,CULTURAL CONNECTIONS,BABY BOOMERS (1948 - 1968),BETWEEN 11 & 15 YEARS,1,47,52.3333,0.0,0,0,0,0,0,0,0,0.0,0,,24.583333,,,,,0.0,,,,,,28.0,5.0,15.0,,,,0.0,3.0,3.0,2.0,4.0,97.5,65.0,177.86,147.5,0.0,0.0,24.583333,0.0,0.0,9.0,340.36,56.726667,JEEP GRAND CHEROKEE,147.5,24.583333,3
8922,837697,"50-59,999",PENDING,RI,750-799,UNKNOWN,NOTICE,PLUS MEMBERSHIP,2886,FORD,FUSION,CAUCASION / WHITE - EUROPEAN,HOME OWNER,UNKNOWN,SFDU,FEMALE,NURSE,PROFESSIONAL - KNOWN,UNKNOWN,TOWN ELDERS,COMFORTABLE RETIREMENT,GOLDEN YEAR GUARDIANS,POST-WAR (< 1948),+40 YEARS,0,47,78.0,5.0,0,0,0,0,0,0,0,0.0,0,1.0,17.666667,1.0,0.0,,4.0,0.0,1.0,1.0,0.0,,6.0,6.0,1.0,3.0,4.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,17.666667,0.0,0.0,0.0,0.0,0.0,FORD FUSION,53.0,17.666667,3
8925,3975336,"90-99,999",ACTIVE,RI,750-799,UNKNOWN,NOTICE,UNKNOWN,2857,UNKNOWN,UNKNOWN,CAUCASION / WHITE - ENGLISH,HOME OWNER,HIGH SCHOOL,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,STOCKCARS AND STATE PARKS,ROUTINE SERVICE WORKERS,FAMILY UNION,BABY BOOMERS (1948 - 1968),BETWEEN 11 & 15 YEARS,1,47,58.0,10.4,1,0,0,0,1,0,0,1.0,0,1.0,13.3,2.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,,3.0,32.0,3.0,10.0,,9.0,,2.0,3.0,0.0,7.0,0.0,0.0,865.35,0.0,63.5,3.0,0.0,12.7,0.6,0.0,7.0,865.35,173.07,UNKNOWN UNKNOWN,66.5,13.3,4
8934,8596789,UNKNOWN,CANCELLED,RI,UNKNOWN,NON-PAYMENT,NOTICE,BASIC MEMBERSHIP,2905,MAZDA,PROTEGE,UNKNOWN,UNKNOWN,UNKNOWN,SMALL OR LARGE MULTI-FAMILY W/APT NUMBER,FEMALE,UNKNOWN,OTHER - INFERRED,RENTER,BOHEMIAN GROOVE,METROPOLITAN STRUGGLERS,SIGNIFICANT SINGLES,BABY BOOMERS (1948 - 1968),+40 YEARS,0,41,60.0,0.0,0,0,0,0,0,0,0,0.0,0,,45.428571,,,,,2.0,,1.0,,,8.0,15.0,8.0,13.0,,6.0,2.0,0.0,1.0,12.0,30.0,30.0,636.0,1590.0,1590.0,318.0,0.0,0.0,45.428571,0.0,0.0,72.0,3816.0,545.142857,MAZDA PROTEGE,318.0,45.428571,2
8948,5572671,UNKNOWN,CANCELLED,RI,UNKNOWN,DECEASED,NOTICE,UNKNOWN,2904,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,DIGITAL DEPENDENTS,HARD WORKING BLUE COLLAR,SINGLES AND STARTERS,POST-WAR (< 1948),+40 YEARS,0,47,99.0,0.0,0,0,0,0,0,1,0,,0,,0.0,,,,,0.0,,,,,2.0,10.0,5.0,9.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UNKNOWN UNKNOWN,0.0,0.0,1
8979,13269770,"70-79,999",ACTIVE,RI,750-799,UNKNOWN,NOTICE,PLUS MEMBERSHIP,2878,TOYOTA,RAV 4,CAUCASION / WHITE - ENGLISH,HOME OWNER,HIGH SCHOOL,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,TOWN ELDERS,COMFORTABLE RETIREMENT,GOLDEN YEAR GUARDIANS,POST-WAR (< 1948),BETWEEN 21 & 30 YEARS,2,47,78.4,6.0,0,0,0,0,0,0,0,0.0,1,2.0,54.8,2.0,0.0,2.0,3.0,0.0,1.0,,0.0,,2.0,6.0,1.0,3.0,,,,2.0,0.0,0.0,3.0,5.0,0.0,159.0,292.0,265.0,9.0,0.0,53.0,1.8,0.0,8.0,451.0,90.2,TOYOTA RAV 4,274.0,54.8,2
8983,13061375,"70-79,999",ACTIVE,RI,700-749,UNKNOWN,NOTICE,PLUS MEMBERSHIP,2915,MERCEDES-BENZ,SLK230,HISPANIC - HISPANIC ORIGIN,HOME OWNER,UNKNOWN,SFDU,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,AGING IN PLACE,COMFORTABLE RETIREMENT,AUTUMN YEARS,POST-WAR (< 1948),+40 YEARS,0,56,64.7273,12.5,0,0,0,0,0,0,0,1.0,0,2.0,33.354167,6.0,0.0,4.0,3.0,0.0,2.0,1.0,0.0,,8.0,1.0,1.0,1.0,10.0,12.0,,2.0,3.0,8.0,17.0,8.0,470.8,985.15,470.8,396.7,0.0,0.0,33.058333,0.0,0.0,33.0,1926.75,160.5625,MERCEDES-BENZ SLK230,400.25,33.354167,5
8993,7333329,"40-49,999",ACTIVE,RI,750-799,UNKNOWN,NOTICE,PLUS MEMBERSHIP,2864,HONDA,CIVIC,CAUCASION / WHITE - EASTERN EUROPEAN,HOME OWNER,HIGH SCHOOL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,POST-WAR (< 1948),BETWEEN 21 & 30 YEARS,2,47,67.3333,8.5714,0,0,0,0,0,1,0,0.0,0,1.0,41.5,7.0,0.0,2.0,5.0,0.0,1.0,,0.0,,2.0,42.0,3.0,9.0,,,,2.0,1.0,10.0,8.0,10.0,841.4,316.0,429.0,182.5,93.0,0.0,26.071429,13.2857,0.0,28.0,1586.4,226.628571,HONDA CIVIC,290.5,41.5,3
